Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7
1.0	0.12228684599495682	0.01667764879642609	0.2978252893369024	0.21613041811956635	64.0	512.0	10.0	10.0
2.0	0.0799108451232314	0.21850523054376686	0.1718481524762743	0.07554522815276066	512.0	64.0	500.0	5.0
3.0	0.10455601392821409	0.015487452625046316	0.19901999092427705	0.15493848668658616	1024.0	64.0	10.0	5.0
4.0	0.07322245093644597	0.10602896209594755	0.0656855531937046	0.05481169050478441	512.0	1024.0	100.0	20.0
5.0	0.08851093049161136	0.21135191756734376	0.011566752379394484	0.2789661600364486	128.0	64.0	500.0	10.0
6.0	0.06941667861042788	0.0	0.3	0.0	512.0	1024.0	100.0	20.0
7.0	0.11911450587213039	0.19695901880657232	0.05629032927960588	0.2256787054275047	128.0	64.0	500.0	5.0
8.0	0.08404928669333459	0.2138113371684107	0.11234726130739342	0.07628820962129493	512.0	64.0	500.0	5.0
9.0	0.06487438981421292	0.3	0.3	0.0	512.0	64.0	500.0	10.0
10.0	0.06003455137833953	0.0	0.3	0.3	512.0	64.0	500.0	10.0
